2012-01-01,1330296.0647094068
2012-02-01,1104138.485149883
2012-03-01,1121751.5150055392
2012-04-01,1176189.5286554412
2012-05-01,1063707.495370439
2012-06-01,1077524.8853941504
2012-07-01,1251912.4655501305
2012-08-01,1157818.9733101376
2012-09-01,1220349.7363235315
2012-10-01,1255525.4667404802
2012-11-01,1176174.5335364752
2012-12-01,1323407.3928979163
2013-01-01,1375327.5209575961
2013-02-01,1150268.5159475442
2013-03-01,1198771.2291195623
2013-04-01,1207830.350374576
2013-05-01,1098296.6778433218
2013-06-01,1194873.301892997
2013-07-01,1282313.7622475429
