Date,Total
1997-04-01 00:00:00.000000,670519
1997-05-01 00:00:00.000000,640128
1997-06-01 00:00:00.000000,655719
1997-07-01 00:00:00.000000,749452
1997-08-01 00:00:00.000000,706838
1997-09-01 00:00:00.000000,686538
1997-10-01 00:00:00.000000,746831
1997-11-01 00:00:00.000000,722232
1997-12-01 00:00:00.000000,755498
1998-01-01 00:00:00.000000,773289
1998-02-01 00:00:00.000000,674491
1998-03-01 00:00:00.000000,694857
1998-04-01 00:00:00.000000,733977
1998-05-01 00:00:00.000000,670403
1998-06-01 00:00:00.000000,652208
1998-07-01 00:00:00.000000,750248
1998-08-01 00:00:00.000000,727905
1998-09-01 00:00:00.000000,716251
1998-10-01 00:00:00.000000,769129
1998-11-01 00:00:00.000000,727634
1998-12-01 00:00:00.000000,786474
1999-01-01 00:00:00.000000,817095
1999-02-01 00:00:00.000000,716123
1999-03-01 00:00:00.000000,767101
1999-04-01 00:00:00.000000,740705
1999-05-01 00:00:00.000000,680010
1999-06-01 00:00:00.000000,681500
1999-07-01 00:00:00.000000,795200
1999-08-01 00:00:00.000000,778835
1999-09-01 00:00:00.000000,782324
1999-10-01 00:00:00.000000,820750
1999-11-01 00:00:00.000000,786574
1999-12-01 00:00:00.000000,815707
2000-01-01 00:00:00.000000,854393
2000-02-01 00:00:00.000000,792676
2000-03-01 00:00:00.000000,814831
2000-04-01 00:00:00.000000,855418
2000-05-01 00:00:00.000000,762678
2000-06-01 00:00:00.000000,755816
2000-07-01 00:00:00.000000,881148
2000-08-01 00:00:00.000000,832996
2000-09-01 00:00:00.000000,895105
2000-10-01 00:00:00.000000,934105
2000-11-01 00:00:00.000000,906951
2000-12-01 00:00:00.000000,996188
2001-01-01 00:00:00.000000,1012265
2001-02-01 00:00:00.000000,836174
2001-03-01 00:00:00.000000,893960
2001-04-01 00:00:00.000000,891808
2001-05-01 00:00:00.000000,798447
2001-06-01 00:00:00.000000,807378
2001-07-01 00:00:00.000000,952431
2001-08-01 00:00:00.000000,876098
2001-09-01 00:00:00.000000,788574
2001-10-01 00:00:00.000000,761136
2001-11-01 00:00:00.000000,717124
2001-12-01 00:00:00.000000,848807
2002-01-01 00:00:00.000000,854361
2002-02-01 00:00:00.000000,770856
2002-03-01 00:00:00.000000,837709
2002-04-01 00:00:00.000000,770578
2002-05-01 00:00:00.000000,729104
2002-06-01 00:00:00.000000,719331
2002-07-01 00:00:00.000000,840280
2002-08-01 00:00:00.000000,787615
2002-09-01 00:00:00.000000,758898
2002-10-01 00:00:00.000000,843382
2002-11-01 00:00:00.000000,793575
2002-12-01 00:00:00.000000,872708
2003-01-01 00:00:00.000000,899873
2003-02-01 00:00:00.000000,763962
2003-03-01 00:00:00.000000,767920
2003-04-01 00:00:00.000000,681165
2003-05-01 00:00:00.000000,620851
2003-06-01 00:00:00.000000,658161
2003-07-01 00:00:00.000000,827251
2003-08-01 00:00:00.000000,795349
2003-09-01 00:00:00.000000,811116
2003-10-01 00:00:00.000000,853822
2003-11-01 00:00:00.000000,869325
2003-12-01 00:00:00.000000,951998
2004-01-01 00:00:00.000000,965604
2004-02-01 00:00:00.000000,840848
2004-03-01 00:00:00.000000,867123
2004-04-01 00:00:00.000000,870191
2004-05-01 00:00:00.000000,796464
2004-06-01 00:00:00.000000,820453
2004-07-01 00:00:00.000000,953527
2004-08-01 00:00:00.000000,871196
2004-09-01 00:00:00.000000,877426
2004-10-01 00:00:00.000000,933864
2004-11-01 00:00:00.000000,918874
2004-12-01 00:00:00.000000,1033097
2005-01-01 00:00:00.000000,1079873
2005-02-01 00:00:00.000000,901166
2005-03-01 00:00:00.000000,953411
2005-04-01 00:00:00.000000,910726
2005-05-01 00:00:00.000000,822580
2005-06-01 00:00:00.000000,860296
2005-07-01 00:00:00.000000,1006601
2005-08-01 00:00:00.000000,923007
2005-09-01 00:00:00.000000,936107
2005-10-01 00:00:00.000000,959804
2005-11-01 00:00:00.000000,932260
2005-12-01 00:00:00.000000,1049257
2006-01-01 00:00:00.000000,1090847
2006-02-01 00:00:00.000000,920996
2006-03-01 00:00:00.000000,946416
2006-04-01 00:00:00.000000,968669
2006-05-01 00:00:00.000000,856735
2006-06-01 00:00:00.000000,898536
2006-07-01 00:00:00.000000,1018695
2006-08-01 00:00:00.000000,935282
2006-09-01 00:00:00.000000,965179
2006-10-01 00:00:00.000000,1035888
2006-11-01 00:00:00.000000,996426
2006-12-01 00:00:00.000000,1113651
2007-01-01 00:00:00.000000,1139835
2007-02-01 00:00:00.000000,972164
2007-03-01 00:00:00.000000,1058235
2007-04-01 00:00:00.000000,1013641
2007-05-01 00:00:00.000000,902945
2007-06-01 00:00:00.000000,955294
2007-07-01 00:00:00.000000,1074634
2007-08-01 00:00:00.000000,1025406
2007-09-01 00:00:00.000000,1028996
2007-10-01 00:00:00.000000,1091972
2007-11-01 00:00:00.000000,1057497
2007-12-01 00:00:00.000000,1148763
2008-01-01 00:00:00.000000,1178324
2008-02-01 00:00:00.000000,1050608
2008-03-01 00:00:00.000000,1074127
2008-04-01 00:00:00.000000,1009510
2008-05-01 00:00:00.000000,954105
2008-06-01 00:00:00.000000,953748
2008-07-01 00:00:00.000000,1146352
2008-08-01 00:00:00.000000,1014510
2008-09-01 00:00:00.000000,972103
2008-10-01 00:00:00.000000,1062048
2008-11-01 00:00:00.000000,1004324
2008-12-01 00:00:00.000000,1120660
2009-01-01 00:00:00.000000,1133056
2009-02-01 00:00:00.000000,942996
2009-03-01 00:00:00.000000,989340
2009-04-01 00:00:00.000000,1029699
2009-05-01 00:00:00.000000,915693
2009-06-01 00:00:00.000000,920130
2009-07-01 00:00:00.000000,1101663
2009-08-01 00:00:00.000000,1023333
2009-09-01 00:00:00.000000,1043629
2009-10-01 00:00:00.000000,1150695
2009-11-01 00:00:00.000000,1066242
2009-12-01 00:00:00.000000,121896
2010-01-01 00:00:00.000000,1241983
2010-02-01 00:00:00.000000,1048102
2010-03-01 00:00:00.000000,1108913
2010-04-01 00:00:00.000000,1055661
2010-05-01 00:00:00.000000,972663
2010-06-01 00:00:00.000000,1035031
2010-07-01 00:00:00.000000,1186875
2010-08-01 00:00:00.000000,1095114
2010-09-01 00:00:00.000000,1130106
2010-10-01 00:00:00.000000,1200692
2010-11-01 00:00:00.000000,1128952
2010-12-01 00:00:00.000000,1269627
2011-01-01 00:00:00.000000,1292452
2011-02-01 00:00:00.000000,1068181
2011-03-01 00:00:00.000000,1086763
2011-04-01 00:00:00.000000,1135743
2011-05-01 00:00:00.000000,1026415
2011-06-01 00:00:00.000000,1042449
2011-07-01 00:00:00.000000,1204720
2011-08-01 00:00:00.000000,1113100
2011-09-01 00:00:00.000000,1171845
2011-10-01 00:00:00.000000,1205983
2011-11-01 00:00:00.000000,1129822
